goos: darwin
goarch: arm64
pkg: go.opentelemetry.io/collector/internal/fanoutconsumer
cpu: Apple M1 Max
BenchmarkLogsFanout/n=8/mix=half/shape=large_10k-10                    	      76	   8193827 ns/op	   1.22 MB/s	10409189 B/op	  200036 allocs/op
BenchmarkLogsFanout/n=16/mix=half/shape=large_10k-10                   	      36	  15698782 ns/op	   0.64 MB/s	20818233 B/op	  400072 allocs/op
BenchmarkLogsFanout/n=16/mix=half/shape=large_10k-10                   	      39	  20104244 ns/op	   0.50 MB/s	20818288 B/op	  400072 allocs/op
BenchmarkLogsFanout/n=1/mix=one_mut_rest_ro/shape=large_10k-10         	87450808	         7.110 ns/op	1406542.70 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=1/mix=one_mut_rest_ro/shape=large_10k-10         	86868393	         7.273 ns/op	1374966.64 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=2/mix=one_mut_rest_ro/shape=large_10k-10         	     199	   2846584 ns/op	   3.51 MB/s	 2602285 B/op	   50009 allocs/op
BenchmarkLogsFanout/n=2/mix=one_mut_rest_ro/shape=large_10k-10         	     288	   2070018 ns/op	   4.83 MB/s	 2602281 B/op	   50009 allocs/op
BenchmarkLogsFanout/n=4/mix=one_mut_rest_ro/shape=large_10k-10         	     290	   2061517 ns/op	   4.85 MB/s	 2602278 B/op	   50009 allocs/op
BenchmarkLogsFanout/n=4/mix=one_mut_rest_ro/shape=large_10k-10         	     302	   2602248 ns/op	   3.84 MB/s	 2602284 B/op	   50009 allocs/op
BenchmarkLogsFanout/n=8/mix=one_mut_rest_ro/shape=large_10k-10         	     262	   2165889 ns/op	   4.62 MB/s	 2602279 B/op	   50009 allocs/op
BenchmarkLogsFanout/n=8/mix=one_mut_rest_ro/shape=large_10k-10         	     285	   2114536 ns/op	   4.73 MB/s	 2602279 B/op	   50009 allocs/op
BenchmarkLogsFanout/n=16/mix=one_mut_rest_ro/shape=large_10k-10        	     243	   2425531 ns/op	   4.12 MB/s	 2602281 B/op	   50009 allocs/op
BenchmarkLogsFanout/n=16/mix=one_mut_rest_ro/shape=large_10k-10        	     292	   2178067 ns/op	   4.59 MB/s	 2602277 B/op	   50009 allocs/op
BenchmarkLogsFanout/n=1/mix=all_mut/shape=rich_100x5x50x10-10          	71162769	         7.366 ns/op	3393843.34 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=1/mix=all_mut/shape=rich_100x5x50x10-10          	85250982	         7.609 ns/op	3285526.79 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=2/mix=all_mut/shape=rich_100x5x50x10-10          	      48	  11134497 ns/op	   2.25 MB/s	18293733 B/op	  326503 allocs/op
BenchmarkLogsFanout/n=2/mix=all_mut/shape=rich_100x5x50x10-10          	      51	  10491850 ns/op	   2.38 MB/s	18293729 B/op	  326503 allocs/op
BenchmarkLogsFanout/n=4/mix=all_mut/shape=rich_100x5x50x10-10          	      16	  42881852 ns/op	   0.58 MB/s	54881211 B/op	  979509 allocs/op
BenchmarkLogsFanout/n=4/mix=all_mut/shape=rich_100x5x50x10-10          	      16	  33891550 ns/op	   0.74 MB/s	54881199 B/op	  979509 allocs/op
BenchmarkLogsFanout/n=8/mix=all_mut/shape=rich_100x5x50x10-10          	       7	  73939589 ns/op	   0.34 MB/s	128056104 B/op	 2285521 allocs/op
BenchmarkLogsFanout/n=8/mix=all_mut/shape=rich_100x5x50x10-10          	       7	  85805399 ns/op	   0.29 MB/s	128056126 B/op	 2285521 allocs/op
BenchmarkLogsFanout/n=16/mix=all_mut/shape=rich_100x5x50x10-10         	       3	 168459403 ns/op	   0.15 MB/s	274405960 B/op	 4897545 allocs/op
BenchmarkLogsFanout/n=16/mix=all_mut/shape=rich_100x5x50x10-10         	       3	 167619625 ns/op	   0.15 MB/s	274405997 B/op	 4897545 allocs/op
BenchmarkLogsFanout/n=1/mix=all_ro/shape=rich_100x5x50x10-10           	254514090	         2.383 ns/op	10493106.36 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=1/mix=all_ro/shape=rich_100x5x50x10-10           	267920085	         2.314 ns/op	10801848.51 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=2/mix=all_ro/shape=rich_100x5x50x10-10           	60993429	         9.293 ns/op	2690333.87 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=2/mix=all_ro/shape=rich_100x5x50x10-10           	63045626	        10.26 ns/op	2436433.57 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=4/mix=all_ro/shape=rich_100x5x50x10-10           	39724683	        17.13 ns/op	1459016.03 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=4/mix=all_ro/shape=rich_100x5x50x10-10           	37595556	        15.29 ns/op	1634711.28 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=8/mix=all_ro/shape=rich_100x5x50x10-10           	16423844	        31.75 ns/op	787398.56 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=8/mix=all_ro/shape=rich_100x5x50x10-10           	21216500	        30.80 ns/op	811820.09 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=16/mix=all_ro/shape=rich_100x5x50x10-10          	10423678	        60.83 ns/op	410997.17 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=16/mix=all_ro/shape=rich_100x5x50x10-10          	 9611520	        58.27 ns/op	429004.64 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=1/mix=half/shape=rich_100x5x50x10-10             	245235908	         2.433 ns/op	10274286.12 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=1/mix=half/shape=rich_100x5x50x10-10             	256076664	         2.491 ns/op	10034433.30 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=2/mix=half/shape=rich_100x5x50x10-10             	      55	  11112852 ns/op	   2.25 MB/s	18293734 B/op	  326503 allocs/op
BenchmarkLogsFanout/n=2/mix=half/shape=rich_100x5x50x10-10             	      45	  11653375 ns/op	   2.15 MB/s	18293732 B/op	  326503 allocs/op
BenchmarkLogsFanout/n=4/mix=half/shape=rich_100x5x50x10-10             	      26	  25622571 ns/op	   0.98 MB/s	36587461 B/op	  653006 allocs/op
BenchmarkLogsFanout/n=4/mix=half/shape=rich_100x5x50x10-10             	      25	  22557885 ns/op	   1.11 MB/s	36587464 B/op	  653006 allocs/op
BenchmarkLogsFanout/n=8/mix=half/shape=rich_100x5x50x10-10             	      13	  40816317 ns/op	   0.61 MB/s	73174921 B/op	 1306012 allocs/op
BenchmarkLogsFanout/n=8/mix=half/shape=rich_100x5x50x10-10             	      12	  45268795 ns/op	   0.55 MB/s	73174933 B/op	 1306012 allocs/op
BenchmarkLogsFanout/n=16/mix=half/shape=rich_100x5x50x10-10            	       6	  95658618 ns/op	   0.26 MB/s	146349864 B/op	 2612024 allocs/op
BenchmarkLogsFanout/n=16/mix=half/shape=rich_100x5x50x10-10            	       6	  86428465 ns/op	   0.29 MB/s	146349842 B/op	 2612024 allocs/op
BenchmarkLogsFanout/n=1/mix=one_mut_rest_ro/shape=rich_100x5x50x10-10  	85903480	         7.906 ns/op	3162005.35 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=1/mix=one_mut_rest_ro/shape=rich_100x5x50x10-10  	73106095	         7.140 ns/op	3501567.55 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=2/mix=one_mut_rest_ro/shape=rich_100x5x50x10-10  	      51	  11826561 ns/op	   2.11 MB/s	18293731 B/op	  326503 allocs/op
BenchmarkLogsFanout/n=2/mix=one_mut_rest_ro/shape=rich_100x5x50x10-10  	      39	  12883110 ns/op	   1.94 MB/s	18293738 B/op	  326503 allocs/op
BenchmarkLogsFanout/n=4/mix=one_mut_rest_ro/shape=rich_100x5x50x10-10  	      46	  12228072 ns/op	   2.04 MB/s	18293730 B/op	  326503 allocs/op
BenchmarkLogsFanout/n=4/mix=one_mut_rest_ro/shape=rich_100x5x50x10-10  	      52	  11630009 ns/op	   2.15 MB/s	18293730 B/op	  326503 allocs/op
BenchmarkLogsFanout/n=8/mix=one_mut_rest_ro/shape=rich_100x5x50x10-10  	      48	  12730594 ns/op	   1.96 MB/s	18293729 B/op	  326503 allocs/op
BenchmarkLogsFanout/n=8/mix=one_mut_rest_ro/shape=rich_100x5x50x10-10  	      49	  11365559 ns/op	   2.20 MB/s	18293730 B/op	  326503 allocs/op
BenchmarkLogsFanout/n=16/mix=one_mut_rest_ro/shape=rich_100x5x50x10-10 	      37	  16623546 ns/op	   1.50 MB/s	18293742 B/op	  326503 allocs/op
BenchmarkLogsFanout/n=16/mix=one_mut_rest_ro/shape=rich_100x5x50x10-10 	      43	  11792026 ns/op	   2.12 MB/s	18293730 B/op	  326503 allocs/op
BenchmarkMetricsFanout/n=1/mix=all_mut/shape=small_10-10               	84847123	         7.083 ns/op	2823.48 MB/s	       0 B/op	       0 allocs/op
BenchmarkMetricsFanout/n=1/mix=all_mut/shape=small_10-10               	86857390	         7.435 ns/op	2690.12 MB/s	       0 B/op	       0 allocs/op
BenchmarkMetricsFanout/n=2/mix=all_mut/shape=small_10-10               	  149328	      4322 ns/op	   4.63 MB/s	    6376 B/op	     147 allocs/op
BenchmarkMetricsFanout/n=2/mix=all_mut/shape=small_10-10               	  153081	      4127 ns/op	   4.85 MB/s	    6376 B/op	     147 allocs/op
BenchmarkMetricsFanout/n=4/mix=all_mut/shape=small_10-10               	   36357	     13975 ns/op	   1.43 MB/s	   19128 B/op	     441 allocs/op
BenchmarkMetricsFanout/n=4/mix=all_mut/shape=small_10-10               	   50262	     13530 ns/op	   1.48 MB/s	   19128 B/op	     441 allocs/op
BenchmarkMetricsFanout/n=8/mix=all_mut/shape=small_10-10               	   19832	     28951 ns/op	   0.69 MB/s	   44632 B/op	    1029 allocs/op
BenchmarkMetricsFanout/n=8/mix=all_mut/shape=small_10-10               	   19218	     30924 ns/op	   0.65 MB/s	   44632 B/op	    1029 allocs/op
BenchmarkMetricsFanout/n=16/mix=all_mut/shape=small_10-10              	   10000	     69837 ns/op	   0.29 MB/s	   95640 B/op	    2205 allocs/op
BenchmarkMetricsFanout/n=16/mix=all_mut/shape=small_10-10              	    7705	     66874 ns/op	   0.30 MB/s	   95640 B/op	    2205 allocs/op
BenchmarkMetricsFanout/n=1/mix=all_ro/shape=small_10-10                	255014984	         2.576 ns/op	7765.12 MB/s	       0 B/op	       0 allocs/op
BenchmarkMetricsFanout/n=1/mix=all_ro/shape=small_10-10                	259152584	         2.316 ns/op	8634.61 MB/s	       0 B/op	       0 allocs/op
BenchmarkMetricsFanout/n=2/mix=all_ro/shape=small_10-10                	50363916	        10.73 ns/op	1863.63 MB/s	       0 B/op	       0 allocs/op
