goos: darwin
goarch: arm64
pkg: go.opentelemetry.io/collector/internal/fanoutconsumer
cpu: Apple M1 Max
BenchmarkLogsFanout/n=2/mix=one_mut_rest_ro/shape=rich_100x5x50x10-10  	      46	  10911895 ns/op	   2.29 MB/s	18293737 B/op	  326503 allocs/op
BenchmarkLogsFanout/n=2/mix=one_mut_rest_ro/shape=rich_100x5x50x10-10  	      58	  10074316 ns/op	   2.48 MB/s	18293731 B/op	  326503 allocs/op
BenchmarkLogsFanout/n=4/mix=one_mut_rest_ro/shape=rich_100x5x50x10-10  	      56	  11284391 ns/op	   2.22 MB/s	18293731 B/op	  326503 allocs/op
BenchmarkLogsFanout/n=4/mix=one_mut_rest_ro/shape=rich_100x5x50x10-10  	      58	  11056968 ns/op	   2.26 MB/s	18293734 B/op	  326503 allocs/op
BenchmarkLogsFanout/n=8/mix=one_mut_rest_ro/shape=rich_100x5x50x10-10  	      45	  11530453 ns/op	   2.17 MB/s	18293735 B/op	  326503 allocs/op
BenchmarkLogsFanout/n=8/mix=one_mut_rest_ro/shape=rich_100x5x50x10-10  	      57	  11003536 ns/op	   2.27 MB/s	18293738 B/op	  326503 allocs/op
BenchmarkLogsFanout/n=16/mix=one_mut_rest_ro/shape=rich_100x5x50x10-10 	      57	  10367615 ns/op	   2.41 MB/s	18293730 B/op	  326503 allocs/op
BenchmarkLogsFanout/n=16/mix=one_mut_rest_ro/shape=rich_100x5x50x10-10 	      54	  10768865 ns/op	   2.32 MB/s	18293732 B/op	  326503 allocs/op
BenchmarkMetricsFanout/n=1/mix=all_mut/shape=small_10-10               	85571161	         6.829 ns/op	2928.84 MB/s	       0 B/op	       0 allocs/op
BenchmarkMetricsFanout/n=1/mix=all_mut/shape=small_10-10               	88141318	         6.982 ns/op	2864.37 MB/s	       0 B/op	       0 allocs/op
BenchmarkMetricsFanout/n=2/mix=all_mut/shape=small_10-10               	  165900	      3601 ns/op	   5.55 MB/s	    6376 B/op	     147 allocs/op
BenchmarkMetricsFanout/n=2/mix=all_mut/shape=small_10-10               	  166251	      3541 ns/op	   5.65 MB/s	    6376 B/op	     147 allocs/op
BenchmarkMetricsFanout/n=4/mix=all_mut/shape=small_10-10               	   53504	     12033 ns/op	   1.66 MB/s	   19128 B/op	     441 allocs/op
BenchmarkMetricsFanout/n=4/mix=all_mut/shape=small_10-10               	   57964	     10498 ns/op	   1.91 MB/s	   19128 B/op	     441 allocs/op
BenchmarkMetricsFanout/n=8/mix=all_mut/shape=small_10-10               	   24171	     27200 ns/op	   0.74 MB/s	   44632 B/op	    1029 allocs/op
BenchmarkMetricsFanout/n=8/mix=all_mut/shape=small_10-10               	   24363	     24817 ns/op	   0.81 MB/s	   44632 B/op	    1029 allocs/op
BenchmarkMetricsFanout/n=16/mix=all_mut/shape=small_10-10              	   10000	     54116 ns/op	   0.37 MB/s	   95640 B/op	    2205 allocs/op
BenchmarkMetricsFanout/n=16/mix=all_mut/shape=small_10-10              	   10000	     64765 ns/op	   0.31 MB/s	   95641 B/op	    2205 allocs/op
BenchmarkMetricsFanout/n=1/mix=all_ro/shape=small_10-10                	281749500	         2.104 ns/op	9505.05 MB/s	       0 B/op	       0 allocs/op
BenchmarkMetricsFanout/n=1/mix=all_ro/shape=small_10-10                	279869595	         2.138 ns/op	9354.38 MB/s	       0 B/op	       0 allocs/op
BenchmarkMetricsFanout/n=2/mix=all_ro/shape=small_10-10                	68868222	         9.086 ns/op	2201.22 MB/s	       0 B/op	       0 allocs/op
