goos: darwin
goarch: arm64
pkg: go.opentelemetry.io/collector/internal/fanoutconsumer
cpu: Apple M1 Max
BenchmarkLogsFanout/n=8/mix=all_mut/shape=large_10k-10                 	      40	  16004065 ns/op	   0.62 MB/s	18215967 B/op	  350063 allocs/op
BenchmarkLogsFanout/n=16/mix=all_mut/shape=large_10k-10                	      19	  30563454 ns/op	   0.33 MB/s	39034163 B/op	  750135 allocs/op
BenchmarkLogsFanout/n=16/mix=all_mut/shape=large_10k-10                	      18	  30109032 ns/op	   0.33 MB/s	39034192 B/op	  750135 allocs/op
BenchmarkLogsFanout/n=1/mix=all_ro/shape=large_10k-10                  	263076499	         2.483 ns/op	4026978.25 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=1/mix=all_ro/shape=large_10k-10                  	265332681	         2.263 ns/op	4418674.88 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=2/mix=all_ro/shape=large_10k-10                  	66450090	         9.078 ns/op	1101539.49 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=2/mix=all_ro/shape=large_10k-10                  	67141317	         9.878 ns/op	1012399.61 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=4/mix=all_ro/shape=large_10k-10                  	39279225	        15.10 ns/op	662173.88 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=4/mix=all_ro/shape=large_10k-10                  	39691945	        14.87 ns/op	672486.19 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=8/mix=all_ro/shape=large_10k-10                  	22021042	        28.96 ns/op	345252.44 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=8/mix=all_ro/shape=large_10k-10                  	18668156	        27.98 ns/op	357361.51 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=16/mix=all_ro/shape=large_10k-10                 	10398666	        59.33 ns/op	168560.95 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=16/mix=all_ro/shape=large_10k-10                 	 9460458	        57.11 ns/op	175102.62 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=1/mix=half/shape=large_10k-10                    	267010368	         2.261 ns/op	4423559.25 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=1/mix=half/shape=large_10k-10                    	260714364	         2.391 ns/op	4182261.32 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=2/mix=half/shape=large_10k-10                    	     240	   2257506 ns/op	   4.43 MB/s	 2602278 B/op	   50009 allocs/op
BenchmarkLogsFanout/n=2/mix=half/shape=large_10k-10                    	     294	   2059882 ns/op	   4.85 MB/s	 2602281 B/op	   50009 allocs/op
BenchmarkLogsFanout/n=4/mix=half/shape=large_10k-10                    	     141	   4749213 ns/op	   2.11 MB/s	 5204559 B/op	  100018 allocs/op
BenchmarkLogsFanout/n=4/mix=half/shape=large_10k-10                    	     144	   4130088 ns/op	   2.42 MB/s	 5204556 B/op	  100018 allocs/op
BenchmarkLogsFanout/n=8/mix=half/shape=large_10k-10                    	      66	   9509967 ns/op	   1.05 MB/s	10409120 B/op	  200036 allocs/op
BenchmarkLogsFanout/n=8/mix=half/shape=large_10k-10                    	      62	   9298073 ns/op	   1.08 MB/s	10409110 B/op	  200036 allocs/op
BenchmarkLogsFanout/n=16/mix=half/shape=large_10k-10                   	      34	  16734846 ns/op	   0.60 MB/s	20818231 B/op	  400072 allocs/op
BenchmarkLogsFanout/n=16/mix=half/shape=large_10k-10                   	      34	  20911877 ns/op	   0.48 MB/s	20818261 B/op	  400072 allocs/op
BenchmarkLogsFanout/n=1/mix=one_mut_rest_ro/shape=large_10k-10         	85408753	         7.205 ns/op	1387904.71 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=1/mix=one_mut_rest_ro/shape=large_10k-10         	80447473	         7.385 ns/op	1354132.24 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=2/mix=one_mut_rest_ro/shape=large_10k-10         	     282	   2299576 ns/op	   4.35 MB/s	 2602277 B/op	   50009 allocs/op
BenchmarkLogsFanout/n=2/mix=one_mut_rest_ro/shape=large_10k-10         	     292	   2055267 ns/op	   4.87 MB/s	 2602279 B/op	   50009 allocs/op
BenchmarkLogsFanout/n=4/mix=one_mut_rest_ro/shape=large_10k-10         	     212	   2392776 ns/op	   4.18 MB/s	 2602280 B/op	   50009 allocs/op
BenchmarkLogsFanout/n=4/mix=one_mut_rest_ro/shape=large_10k-10         	     289	   2301112 ns/op	   4.35 MB/s	 2602278 B/op	   50009 allocs/op
BenchmarkLogsFanout/n=8/mix=one_mut_rest_ro/shape=large_10k-10         	     292	   2026109 ns/op	   4.94 MB/s	 2602277 B/op	   50009 allocs/op
BenchmarkLogsFanout/n=8/mix=one_mut_rest_ro/shape=large_10k-10         	     243	   2312832 ns/op	   4.32 MB/s	 2602280 B/op	   50009 allocs/op
BenchmarkLogsFanout/n=16/mix=one_mut_rest_ro/shape=large_10k-10        	     288	   2138971 ns/op	   4.68 MB/s	 2602280 B/op	   50009 allocs/op
BenchmarkLogsFanout/n=16/mix=one_mut_rest_ro/shape=large_10k-10        	     264	   2138947 ns/op	   4.68 MB/s	 2602278 B/op	   50009 allocs/op
BenchmarkLogsFanout/n=1/mix=one_real_mut_rest_ro/shape=large_10k-10    	 7596141	        82.20 ns/op	121659.01 MB/s	     172 B/op	       1 allocs/op
BenchmarkLogsFanout/n=1/mix=one_real_mut_rest_ro/shape=large_10k-10    	 9944689	        65.31 ns/op	153109.19 MB/s	     170 B/op	       1 allocs/op
BenchmarkLogsFanout/n=2/mix=one_real_mut_rest_ro/shape=large_10k-10    	     254	   2218581 ns/op	   4.51 MB/s	 2602423 B/op	   50011 allocs/op
BenchmarkLogsFanout/n=2/mix=one_real_mut_rest_ro/shape=large_10k-10    	     277	   2293167 ns/op	   4.36 MB/s	 2602424 B/op	   50011 allocs/op
BenchmarkLogsFanout/n=4/mix=one_real_mut_rest_ro/shape=large_10k-10    	     283	   2114033 ns/op	   4.73 MB/s	 2602424 B/op	   50011 allocs/op
BenchmarkLogsFanout/n=4/mix=one_real_mut_rest_ro/shape=large_10k-10    	     195	   2570955 ns/op	   3.89 MB/s	 2602427 B/op	   50011 allocs/op
BenchmarkLogsFanout/n=8/mix=one_real_mut_rest_ro/shape=large_10k-10    	     286	   2335021 ns/op	   4.28 MB/s	 2602426 B/op	   50011 allocs/op
BenchmarkLogsFanout/n=8/mix=one_real_mut_rest_ro/shape=large_10k-10    	     261	   2246650 ns/op	   4.45 MB/s	 2602424 B/op	   50011 allocs/op
BenchmarkLogsFanout/n=16/mix=one_real_mut_rest_ro/shape=large_10k-10   	     292	   2066502 ns/op	   4.84 MB/s	 2602424 B/op	   50011 allocs/op
BenchmarkLogsFanout/n=16/mix=one_real_mut_rest_ro/shape=large_10k-10   	     284	   2340548 ns/op	   4.27 MB/s	 2602423 B/op	   50011 allocs/op
BenchmarkLogsFanout/n=1/mix=all_mut/shape=rich_100x5x50x10-10          	77855930	         7.060 ns/op	3541028.11 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=1/mix=all_mut/shape=rich_100x5x50x10-10          	85966042	         7.493 ns/op	3336480.21 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=2/mix=all_mut/shape=rich_100x5x50x10-10          	      55	  10678888 ns/op	   2.34 MB/s	18293731 B/op	  326503 allocs/op
BenchmarkLogsFanout/n=2/mix=all_mut/shape=rich_100x5x50x10-10          	      55	  10683406 ns/op	   2.34 MB/s	18293729 B/op	  326503 allocs/op
BenchmarkLogsFanout/n=4/mix=all_mut/shape=rich_100x5x50x10-10          	      13	  40509660 ns/op	   0.62 MB/s	54881190 B/op	  979509 allocs/op
BenchmarkLogsFanout/n=4/mix=all_mut/shape=rich_100x5x50x10-10          	      16	  31532172 ns/op	   0.79 MB/s	54881200 B/op	  979509 allocs/op
BenchmarkLogsFanout/n=8/mix=all_mut/shape=rich_100x5x50x10-10          	       7	  79117500 ns/op	   0.32 MB/s	128056113 B/op	 2285521 allocs/op
BenchmarkLogsFanout/n=8/mix=all_mut/shape=rich_100x5x50x10-10          	       7	  98316756 ns/op	   0.25 MB/s	128056163 B/op	 2285521 allocs/op
BenchmarkLogsFanout/n=16/mix=all_mut/shape=rich_100x5x50x10-10         	       4	 165948010 ns/op	   0.15 MB/s	274405936 B/op	 4897545 allocs/op
BenchmarkLogsFanout/n=16/mix=all_mut/shape=rich_100x5x50x10-10         	       3	 169222347 ns/op	   0.15 MB/s	274405970 B/op	 4897545 allocs/op
BenchmarkLogsFanout/n=1/mix=all_ro/shape=rich_100x5x50x10-10           	263564559	         2.271 ns/op	11009049.73 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=1/mix=all_ro/shape=rich_100x5x50x10-10           	260268637	         2.426 ns/op	10304591.03 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=2/mix=all_ro/shape=rich_100x5x50x10-10           	66915428	         9.273 ns/op	2695915.92 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=2/mix=all_ro/shape=rich_100x5x50x10-10           	64565594	         9.148 ns/op	2732785.98 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=4/mix=all_ro/shape=rich_100x5x50x10-10           	39605920	        15.84 ns/op	1577992.89 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=4/mix=all_ro/shape=rich_100x5x50x10-10           	39495120	        16.23 ns/op	1540434.78 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=8/mix=all_ro/shape=rich_100x5x50x10-10           	20878581	        29.30 ns/op	853125.82 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=8/mix=all_ro/shape=rich_100x5x50x10-10           	21963238	        27.26 ns/op	917222.74 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=16/mix=all_ro/shape=rich_100x5x50x10-10          	10345867	        61.24 ns/op	408218.06 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=16/mix=all_ro/shape=rich_100x5x50x10-10          	10570582	        59.08 ns/op	423143.60 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=1/mix=half/shape=rich_100x5x50x10-10             	256667242	         2.296 ns/op	10887091.29 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=1/mix=half/shape=rich_100x5x50x10-10             	248650381	         2.362 ns/op	10586337.65 MB/s	       0 B/op	       0 allocs/op
